mpn_match,MPN,Title,Images,category,url,description,status
SFFLCSBKBK,SFFLCSBKBK,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Black, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFLCBK_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/172205?queryID=5286a5054f87054166b4748b6426b5a8&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Black, Black Housing",[]
SFLCSRLA,SFLCSRLA,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Red, Light Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168568?queryID=301eb117550b7b804973a3f169e74342&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Red, Light Almond Housing",['DISCONTINUED']
SFSCSBKLA,SFSCSBKLA,"Fiber Optic Connectors, Snap-Fit, SC, Simplex, Zircon Sleeves, Black, Light Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323314?queryID=ef9972cd6c8ea8e6fa6fe80fb921d61d&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Black, Light Almond Housing",['DISCONTINUED']
SFFSCSORG,SFFSCSORG,"Keystone Snap Fit, Snap-Fit, Flush, SC Simplex, Zircon Sleeves, Orange, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCSORG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323287?queryID=2bcd5ed7f7317072a9ae836ceb79fb41&indexName=Products,"Fiber Optic Connectors, Snap-Fit,Flush, SC Simplex, Zircon Sleeves, Orange, Gray Housing",[]
SFLCSRG,SFLCSRG,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Red, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168567?queryID=62346b8aa26b28c24c65110083314f3e&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Red, Gray Housing",[]
SFSCSORG,SFSCSORG,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Orange, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCG_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323321?queryID=34891da9b360fdfb36cce2874e7d997e&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Orange, Gray Housing",[]
SFFLCSGNBK,SFFLCSGNBK,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Green, Black Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFSCGNOW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/175275?queryID=f56aad22514842b11323c70eab9894ed&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Green, Black Housing",[]
SFFLCSYG,SFFLCSYG,"Keystone Snap Fit, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Yellow, Gray Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFKLCYLW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/176788?queryID=d521427254f6b2171285663a09a39272&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Yellow, Gray Housing",[]
SFSCSYW,SFSCSYW,"Keystone Snap Fit, Snap-Fit, SC, Simplex, Zircon Sleeves, Yellow, White Housing",https://hubbellcdn.com/prodimage1200/WBP_SFSCW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/2323336?queryID=dfb44ec3df1cc2ca994b5da56bedcbb5&indexName=Products,"Fiber Optic Connectors, Snap-Fit, SC,Simplex, Zircon Sleeves, Yellow, White Housing",[]
SFFLCSBELA,SFFLCSBELA,Title not found,https://hubbellcdn.com/prodimage1200/WBP_SFFLCLA_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",url not found,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Beige, Light Almond Housing",['DISCONTINUED']
SFFLCSRAL,SFFLCSRAL,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Red, Almond Housing",https://hubbellcdn.com/prodimage1200/WBP_SFFKLCRDW_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/175291?queryID=355a65c76d139c0b42333ac3f57fe986&indexName=Products,"Fiber Optic Connectors, Snap-Fit, Flush, LC-Duplex, Zircon Sleeves, Red, Almond Housing",['DISCONTINUED']
SFLCSGNEI,SFLCSGNEI,"Keystone Snap Fit, Snap-Fit, LC Duplex, Zircon Sleeves, Green, Electric Ivory Housing",https://hubbellcdn.com/prodimage1200/WBP_SFLCEI_PRODIMAGE_1200.jpg,"[['Keystone Snap Fit'], []]",/hubbell/en/p/168473?queryID=79c0df1e042a1cd1b307bb8faaa161df&indexName=Products,"Fiber Optic Connectors, Snap-Fit, LC Duplex, Zircon Sleeves, Green, Electric Ivory Housing",[]
